county,year,month,births,Pop2010
"Eaton County, MI",2017,October,30,107759
"Eaton County, MI",2017,November,27,107759
"Eaton County, MI",2017,December,40,107759
"Eaton County, MI",2018,January,32,107759
"Eaton County, MI",2018,February,40,107759
"Eaton County, MI",2018,March,37,107759
"Eaton County, MI",2018,April,32,107759
"Eaton County, MI",2018,May,40,107759
"Eaton County, MI",2018,June,31,107759
"Eaton County, MI",2018,July,28,107759
"Eaton County, MI",2018,August,37,107759
"Eaton County, MI",2018,September,45,107759
"Eaton County, MI",2018,October,39,107759
"Eaton County, MI",2018,November,36,107759
"Eaton County, MI",2018,December,29,107759
"Eaton County, MI",2019,January,30,107759
"Eaton County, MI",2019,February,33,107759
"Eaton County, MI",2019,March,30,107759
"Eaton County, MI",2019,April,32,107759
"Eaton County, MI",2019,May,38,107759
"Eaton County, MI",2019,June,37,107759
"Eaton County, MI",2019,July,28,107759
"Eaton County, MI",2019,August,34,107759
"Eaton County, MI",2019,September,24,107759
"Eaton County, MI",2019,October,34,107759
"Eaton County, MI",2019,November,29,107759
"Eaton County, MI",2019,December,38,107759
"Franklin County, MO",2016,January,46,101492
"Franklin County, MO",2016,February,38,101492
"Franklin County, MO",2016,March,45,101492
"Franklin County, MO",2016,April,34,101492
"Franklin County, MO",2016,May,43,101492
"Franklin County, MO",2016,June,42,101492
"Franklin County, MO",2016,July,29,101492
"Franklin County, MO",2016,August,48,101492
"Franklin County, MO",2016,September,41,101492
"Franklin County, MO",2016,October,34,101492
"Franklin County, MO",2016,November,32,101492
"Franklin County, MO",2016,December,30,101492
"Franklin County, MO",2017,January,35,101492
"Franklin County, MO",2017,February,41,101492
"Franklin County, MO",2017,March,43,101492
"Franklin County, MO",2017,April,40,101492
"Franklin County, MO",2017,May,35,101492
"Franklin County, MO",2017,June,50,101492
"Franklin County, MO",2017,July,44,101492
"Franklin County, MO",2017,August,36,101492
"Franklin County, MO",2017,September,54,101492
"Franklin County, MO",2017,October,41,101492
"Franklin County, MO",2017,November,48,101492
"Franklin County, MO",2017,December,40,101492
"Franklin County, MO",2018,January,37,101492
"Franklin County, MO",2018,February,33,101492
"Franklin County, MO",2018,March,36,101492
"Franklin County, MO",2018,April,39,101492
"Franklin County, MO",2018,May,38,101492
"Franklin County, MO",2018,June,44,101492
"Franklin County, MO",2018,July,42,101492
"Franklin County, MO",2018,August,46,101492
"Franklin County, MO",2018,September,37,101492
"Franklin County, MO",2018,October,37,101492
"Franklin County, MO",2018,November,34,101492
"Franklin County, MO",2018,December,37,101492
"Franklin County, MO",2019,January,33,101492
"Franklin County, MO",2019,February,20,101492
"Franklin County, MO",2019,March,38,101492
"Franklin County, MO",2019,April,43,101492
"Franklin County, MO",2019,May,37,101492
"Franklin County, MO",2019,June,38,101492
"Franklin County, MO",2019,July,32,101492
"Franklin County, MO",2019,August,40,101492
"Franklin County, MO",2019,September,37,101492
"Franklin County, MO",2019,October,31,101492
"Franklin County, MO",2019,November,38,101492
"Franklin County, MO",2019,December,36,101492
"Yellowstone County, MT",2016,January,64,147972
"Yellowstone County, MT",2016,February,72,147972
"Yellowstone County, MT",2016,March,65,147972
"Yellowstone County, MT",2016,April,82,147972
"Yellowstone County, MT",2016,May,85,147972
"Yellowstone County, MT",2016,June,76,147972
"Yellowstone County, MT",2016,July,72,147972
"Yellowstone County, MT",2016,August,71,147972
"Yellowstone County, MT",2016,September,77,147972
"Yellowstone County, MT",2016,October,62,147972
"Yellowstone County, MT",2016,November,58,147972
"Yellowstone County, MT",2016,December,71,147972
"Yellowstone County, MT",2017,January,77,147972
"Yellowstone County, MT",2017,February,54,147972
"Yellowstone County, MT",2017,March,74,147972
"Yellowstone County, MT",2017,April,68,147972
"Yellowstone County, MT",2017,May,69,147972
"Yellowstone County, MT",2017,June,74,147972
"Yellowstone County, MT",2017,July,76,147972
"Yellowstone County, MT",2017,August,77,147972
"Yellowstone County, MT",2017,September,75,147972
"Yellowstone County, MT",2017,October,61,147972
"Yellowstone County, MT",2017,November,61,147972
"Yellowstone County, MT",2017,December,75,147972
"Yellowstone County, MT",2018,January,84,147972
"Yellowstone County, MT",2018,February,65,147972
"Yellowstone County, MT",2018,March,52,147972
"Yellowstone County, MT",2018,April,51,147972
"Yellowstone County, MT",2018,May,64,147972
"Yellowstone County, MT",2018,June,60,147972
"Yellowstone County, MT",2018,July,78,147972
"Yellowstone County, MT",2018,August,87,147972
"Yellowstone County, MT",2018,September,73,147972
"Yellowstone County, MT",2018,October,72,147972
"Yellowstone County, MT",2018,November,55,147972
"Yellowstone County, MT",2018,December,65,147972
"Yellowstone County, MT",2019,January,65,147972
"Yellowstone County, MT",2019,February,67,147972
"Yellowstone County, MT",2019,March,73,147972
"Yellowstone County, MT",2019,April,64,147972
"Yellowstone County, MT",2019,May,64,147972
"Yellowstone County, MT",2019,June,67,147972
"Yellowstone County, MT",2019,July,71,147972
"Yellowstone County, MT",2019,August,66,147972
"Yellowstone County, MT",2019,September,60,147972
"Yellowstone County, MT",2019,October,75,147972
"Yellowstone County, MT",2019,November,59,147972
"Yellowstone County, MT",2019,December,63,147972
"Strafford County, NH",2016,January,36,123143
"Strafford County, NH",2016,February,39,123143
"Strafford County, NH",2016,March,36,123143
"Strafford County, NH",2016,April,41,123143
"Strafford County, NH",2016,May,47,123143
"Strafford County, NH",2016,June,42,123143
"Strafford County, NH",2016,July,40,123143
"Strafford County, NH",2016,August,46,123143
"Strafford County, NH",2016,September,46,123143
"Strafford County, NH",2016,October,37,123143
"Strafford County, NH",2016,November,32,123143
"Strafford County, NH",2016,December,32,123143
"Strafford County, NH",2017,January,32,123143
"Strafford County, NH",2017,February,37,123143
"Strafford County, NH",2017,March,33,123143
"Strafford County, NH",2017,April,37,123143
"Strafford County, NH",2017,May,45,123143
"Strafford County, NH",2017,June,42,123143
"Strafford County, NH",2017,July,46,123143
"Strafford County, NH",2017,August,44,123143
"Strafford County, NH",2017,September,53,123143
"Strafford County, NH",2017,October,42,123143
"Strafford County, NH",2017,November,37,123143
"Strafford County, NH",2017,December,30,123143
"Strafford County, NH",2018,January,30,123143
"Strafford County, NH",2018,February,28,123143
"Strafford County, NH",2018,March,33,123143
"Strafford County, NH",2018,April,47,123143
"Strafford County, NH",2018,May,41,123143
"Strafford County, NH",2018,June,46,123143
"Strafford County, NH",2018,July,50,123143
"Strafford County, NH",2018,August,46,123143
"Strafford County, NH",2018,September,49,123143
"Strafford County, NH",2018,October,41,123143
"Strafford County, NH",2018,November,30,123143
"Strafford County, NH",2018,December,30,123143
"Strafford County, NH",2019,January,43,123143
"Strafford County, NH",2019,February,38,123143
"Strafford County, NH",2019,March,38,123143
"Strafford County, NH",2019,April,34,123143
"Strafford County, NH",2019,May,43,123143
"Strafford County, NH",2019,June,46,123143
"Strafford County, NH",2019,July,40,123143
"Strafford County, NH",2019,August,37,123143
"Strafford County, NH",2019,September,40,123143
"Strafford County, NH",2019,October,41,123143
"Strafford County, NH",2019,November,34,123143
"Strafford County, NH",2019,December,38,123143
"St. Lawrence County, NY",2016,January,28,111944
"St. Lawrence County, NY",2016,February,32,111944
"St. Lawrence County, NY",2016,March,23,111944
"St. Lawrence County, NY",2016,April,22,111944
"St. Lawrence County, NY",2016,May,28,111944
"St. Lawrence County, NY",2016,June,29,111944
